,dato,fecha
0,14.94690,2015-01-05
1,14.84790,2015-01-06
2,14.79360,2015-01-07
3,14.62740,2015-01-08
4,14.58040,2015-01-09
5,14.63980,2015-01-12
6,14.55590,2015-01-13
7,14.56440,2015-01-14
8,14.58210,2015-01-15
9,14.62230,2015-01-16
10,14.65240,2015-01-19
11,14.64840,2015-01-20
12,14.69830,2015-01-21
13,14.61200,2015-01-22
14,14.64990,2015-01-23
15,14.58870,2015-01-26
16,14.58720,2015-01-27
17,14.68780,2015-01-28
18,14.84140,2015-01-29
19,14.98850,2015-01-30
20,14.75660,2015-02-03
21,14.80110,2015-02-04
22,14.75480,2015-02-05
23,14.90240,2015-02-06
24,14.80140,2015-02-09
25,14.93090,2015-02-10
26,15.10990,2015-02-11
27,14.91670,2015-02-12
28,14.86050,2015-02-13
29,14.89790,2015-02-16
30,14.89710,2015-02-17
31,14.94730,2015-02-18
32,14.95830,2015-02-19
33,15.07570,2015-02-20
34,15.08320,2015-02-23
35,14.97120,2015-02-24
36,14.92280,2015-02-25
37,14.96240,2015-02-26
38,14.95530,2015-02-27
39,14.98620,2015-03-02
40,14.95440,2015-03-03
41,15.07560,2015-03-04
42,15.16860,2015-03-05
43,15.44450,2015-03-06
44,15.45440,2015-03-09
45,15.58370,2015-03-10
46,15.44550,2015-03-11
47,15.40030,2015-03-12
48,15.48920,2015-03-13
49,15.42710,2015-03-17
50,15.41920,2015-03-18
51,15.29600,2015-03-19
52,15.03170,2015-03-20
53,14.96440,2015-03-23
54,14.93470,2015-03-24
55,14.95240,2015-03-25
56,15.10560,2015-03-26
57,15.15420,2015-03-27
58,15.24270,2015-03-30
59,15.26470,2015-03-31
60,15.12060,2015-04-01
61,14.80030,2015-04-06
62,14.90390,2015-04-07
63,14.90720,2015-04-08
64,15.05540,2015-04-09
65,15.17060,2015-04-10
66,15.29470,2015-04-13
67,15.23390,2015-04-14
68,15.38910,2015-04-15
69,15.24550,2015-04-16
70,15.31280,2015-04-17
71,15.39730,2015-04-20
72,15.38370,2015-04-21
73,15.45180,2015-04-22
74,15.35390,2015-04-23
75,15.38340,2015-04-24
76,15.32130,2015-04-27
77,15.22250,2015-04-28
78,15.20430,2015-04-29
79,15.37140,2015-04-30
80,15.49400,2015-05-04
81,15.32250,2015-05-05
82,15.28250,2015-05-06
83,15.33970,2015-05-07
84,15.14240,2015-05-08
85,15.26240,2015-05-11
86,15.32110,2015-05-12
87,15.22130,2015-05-13
88,15.12350,2015-05-14
89,15.02250,2015-05-15
90,15.12000,2015-05-18
91,15.20080,2015-05-19
92,15.21200,2015-05-20
93,15.23260,2015-05-21
94,15.29180,2015-05-22
