,country,lat-long
0,"Place NameLatitudeLongitude
Fulton",38.846668-91.948059
1,Bedford,41.392502-81.534447
2,Stuart,27.192223-80.243057
3,San Angelo,31.442778-100.450279
4,Woodbridge,40.560001-74.290001
5,Clinton,42.586945-82.919998
6,Vista,33.193611-117.241112
7,South Bend,41.676388-86.250275
8,Davenport,41.543056-90.590836
9,Sparks,39.554443-119.735558
10,Green Bay,44.513332-88.015831
11,San Mateo,37.554169-122.313057
12,Tyler,32.349998-95.300003
13,League City,29.499722-95.089722
14,Lewisville,33.038334-97.006111
15,Meridian,43.614166-116.398888
16,Waterbury,41.556110-73.041389
17,Jurupa Valley,34.000000-117.483330
18,West Palm Beach,26.709723-80.064163
19,Antioch,38.005001-121.805832
20,High Point,35.970554-79.997498
21,Miami Gardens,25.942122-80.269920
22,Murrieta,33.569443-117.202499
23,Springfield,39.799999-89.650002
24,El Monte,34.073334-118.027496
25,West Jordan,40.606388-111.976112
26,College Station,30.601389-96.314445
27,Fairfield,38.257778-122.054169
28,Evansville,37.977222-87.550552
29,Cambridge,42.373611-71.110558
30,Richardson,32.965557-96.715836
31,Berkeley,37.871666-122.272781
32,Columbia,38.951561-92.328636
33,Athens,33.950001-83.383331
34,Lafayette,30.216667-92.033333
35,Sterling Heights,42.580276-83.030281
36,Visalia,36.316666-119.300003
37,Hampton,37.034946-76.360123
38,West Valley City,40.689167-111.993889
39,Surprise,33.630554-112.366669
40,Thornton,39.903057-104.954445
41,Miramar,25.978889-80.282501
42,Murfreesboro,35.846111-86.391945
43,Pasadena,34.156113-118.131943
44,Bridgeport,41.186390-73.195557
45,Paterson,40.914745-74.162827
46,Rockford,42.259445-89.064445
47,Joliet,41.520557-88.150558
48,Escondido,33.124722-117.080833
49,Kansas City,39.106667-94.676392
50,Springfield,42.101391-72.590279
51,Springfield,-93.298332-93.298332
52,Corona,33.866669-117.566666
53,Pembroke Pines,26.012501-80.313614
54,Elk Grove,38.438332-121.381943
55,Oceanside,33.211666-117.325836
56,Newport News,37.070831-76.484444
57,Sioux Falls,43.536388-96.731667
58,Vancouver,45.633331-122.599998
59,Worcester,42.271389-71.798889
60,Tallahassee,30.455000-84.253334
61,Columbus,32.492222-84.940277
62,Augusta,33.466667-81.966667
63,Montgomery,32.361668-86.279167
64,Aurora,41.763889-88.290001
65,Amarillo,35.199165-101.845276
66,Modesto,37.661388-120.994446
67,Garland,32.907223-96.635277
68,Irvine,33.669445-117.823059
69,Aurora,39.710835-104.812500
70,Arlington,32.705002-97.122780
71,Kansas City,39.099724-94.578331
72,Memphis,35.117500-89.971107
73,Indianapolis,39.791000-86.148003
74,Columbus,39.983334-82.983330
75,Austin,30.266666-97.733330
76,Dallas,32.779167-96.808891
77,Redwood City,37.487846-122.236115
78,Gastonia,35.255280-81.180275
79,New Braunfels,29.700001-98.116669
