peso_mex,date
14.9469,01/05/2015
14.8479,01/06/2015
14.7936,01/07/2015
14.6274,01/08/2015
14.5804,01/09/2015
14.6398,01/12/2015
14.5559,13/01/2015
14.5644,14/01/2015
14.5821,15/01/2015
14.6223,16/01/2015
14.6524,19/01/2015
14.6484,20/01/2015
14.6983,21/01/2015
14.612,22/01/2015
14.6499,23/01/2015
14.5887,26/01/2015
14.5872,27/01/2015
14.6878,28/01/2015
14.8414,29/01/2015
14.9885,30/01/2015
14.7566,02/03/2015
14.8011,02/04/2015
14.7548,02/05/2015
14.9024,02/06/2015
14.8014,02/09/2015
14.9309,02/10/2015
15.1099,02/11/2015
14.9167,02/12/2015
14.8605,13/02/2015
14.8979,16/02/2015
14.8971,17/02/2015
14.9473,18/02/2015
14.9583,19/02/2015
15.0757,20/02/2015
15.0832,23/02/2015
14.9712,24/02/2015
14.9228,25/02/2015
14.9624,26/02/2015
14.9553,27/02/2015
14.9862,03/02/2015
14.9544,03/03/2015
15.0756,03/04/2015
15.1686,03/05/2015
15.4445,03/06/2015
15.4544,03/09/2015
15.5837,03/10/2015
15.4455,03/11/2015
15.4003,03/12/2015
15.4892,13/03/2015
15.4271,17/03/2015
15.4192,18/03/2015
15.296,19/03/2015
15.0317,20/03/2015
14.9644,23/03/2015
14.9347,24/03/2015
14.9524,25/03/2015
15.1056,26/03/2015
15.1542,27/03/2015
15.2427,30/03/2015
15.2647,31/03/2015
15.1206,04/01/2015
14.8003,04/06/2015
14.9039,04/07/2015
14.9072,04/08/2015
15.0554,04/09/2015
15.1706,04/10/2015
15.2947,13/04/2015
15.2339,14/04/2015
15.3891,15/04/2015
15.2455,16/04/2015
15.3128,17/04/2015
15.3973,20/04/2015
15.3837,21/04/2015
15.4518,22/04/2015
15.3539,23/04/2015
15.3834,24/04/2015
15.3213,27/04/2015
15.2225,28/04/2015
15.2043,29/04/2015
15.3714,30/04/2015
15.494,05/04/2015
15.3225,05/05/2015
15.2825,05/06/2015
15.3397,05/07/2015
15.1424,05/08/2015
15.2624,05/11/2015
15.3211,05/12/2015
15.2213,13/05/2015
15.1235,14/05/2015
15.0225,15/05/2015
15.12,18/05/2015
15.2008,19/05/2015
15.212,20/05/2015
15.2326,21/05/2015
15.2918,22/05/2015
15.2635,25/05/2015
15.3235,26/05/2015
15.3581,27/05/2015
15.3737,28/05/2015
15.3815,29/05/2015
15.4845,06/01/2015
15.4128,06/02/2015
15.4833,06/03/2015
15.5347,06/04/2015
15.6958,06/05/2015
15.6715,06/08/2015
15.5645,06/09/2015
15.4779,06/10/2015
15.4409,06/11/2015
15.4129,06/12/2015
15.4327,15/06/2015
15.4192,16/06/2015
15.4199,17/06/2015
15.2828,18/06/2015
15.3274,19/06/2015
15.3072,22/06/2015
15.4088,23/06/2015
15.4555,24/06/2015
15.4816,25/06/2015
15.5676,26/06/2015
15.6599,29/06/2015
15.6854,30/06/2015
15.7829,07/01/2015
15.6821,07/02/2015
15.6918,07/03/2015
15.753,07/06/2015
15.8281,07/07/2015
15.8174,07/08/2015
15.7856,07/09/2015
15.7329,07/10/2015
15.7404,13/07/2015
15.6728,14/07/2015
15.747,15/07/2015
15.8014,16/07/2015
15.9121,17/07/2015
15.9856,20/07/2015
15.9728,21/07/2015
16.095,22/07/2015
16.0988,23/07/2015
16.2364,24/07/2015
16.2681,27/07/2015
16.2638,28/07/2015
16.214,29/07/2015
16.4512,30/07/2015
16.0772,31/07/2015
16.1129,08/03/2015
16.1736,08/04/2015
16.3762,08/05/2015
16.3533,08/06/2015
16.1645,08/07/2015
16.1652,08/10/2015
16.3241,08/11/2015
16.2976,08/12/2015
16.3541,13/08/2015
16.3658,14/08/2015
16.3993,17/08/2015
16.4317,18/08/2015
16.4908,19/08/2015
16.7182,20/08/2015
16.9171,21/08/2015
17.0975,24/08/2015
16.9859,25/08/2015
17.1065,26/08/2015
16.8863,27/08/2015
16.7684,28/08/2015
16.7829,31/08/2015
16.8692,09/01/2015
16.9444,09/02/2015
16.7918,09/03/2015
16.8454,09/04/2015
16.988,09/07/2015
16.7979,09/08/2015
16.7773,09/09/2015
16.8103,09/10/2015
16.8261,09/11/2015
16.8168,14/09/2015
16.7716,15/09/2015
16.568,17/09/2015
16.539,18/09/2015
16.6865,21/09/2015
16.8713,22/09/2015
17.0453,23/09/2015
17.1149,24/09/2015
16.9595,25/09/2015
17.0073,28/09/2015
17.0771,29/09/2015
16.9053,30/09/2015
16.8566,10/01/2015
16.8162,10/02/2015
16.6941,10/05/2015
16.6878,10/06/2015
16.5762,10/07/2015
16.5464,10/08/2015
16.418,10/09/2015
16.4219,10/12/2015
16.5848,13/10/2015
16.5804,14/10/2015
16.425,15/10/2015
16.3959,16/10/2015
16.4899,19/10/2015
16.5618,20/10/2015
16.66,21/10/2015
16.5284,22/10/2015
16.5138,23/10/2015
16.4998,26/10/2015
16.5545,27/10/2015
16.4503,28/10/2015
16.6219,29/10/2015
16.5244,30/10/2015
16.4196,11/03/2015
16.5147,11/04/2015
16.5959,11/05/2015
16.8382,11/06/2015
16.87,11/09/2015
16.7658,11/10/2015
16.7173,11/11/2015
16.7406,11/12/2015
16.7395,13/11/2015
16.757,17/11/2015
16.7636,18/11/2015
16.5748,19/11/2015
16.512,20/11/2015
16.5306,23/11/2015
16.4705,24/11/2015
16.5548,25/11/2015
16.5492,26/11/2015
16.5784,27/11/2015
16.5856,30/11/2015
16.5104,12/01/2015
16.5933,12/02/2015
16.7095,12/03/2015
16.6757,12/04/2015
16.9044,12/07/2015
