,name,category_code,number_of_employees,founded_year,total_offices,lat,lng,oficina_principal.city,oficina_principal.country code
0,Fixya,web,30,2013,1,37.566879,-122.323895,San Mateo,USA
1,Webnode,network_hosting,30,2008,1,49.2259017,16.5692822,Brno,CZE
2,First30Days,web,17,2008,1,38.257035,-85.717393,Louisville,USA
3,YouNoodle,analytics,18,2010,1,37.7766587,-122.395875,San Francisco,USA
4,CityIN,web,11,2008,1,35.86166,104.195397,,CHN
5,BuyerRaja,web,20,2008,1,13.033353,77.578768,Bangalore,IND
6,Mad Mimi,web,35,2008,1,40.66509,-73.980306,Brooklyn,USA
7,Park Hill,web,10,2008,1,12.86936,74.84256,Mangalore,IND
8,Mouth Watering Media,web,10,2008,1,29.735082,-95.390758,Houston,USA
9,Spoonflower,web,35,2008,1,36.0966,-79.266246,Durham,USA
11,BrandYourself,web,22,2009,1,42.275263,-71.24762,New York,USA
12,PerfectBusiness,web,10,2008,1,33.995974,-118.456709,Venice,USA
13,Geekdom,web,50,2008,1,-33.860404,151.208584,Sydney,AUS
14,CreActivity Focus,web,10,2008,1,-12.0805011,-77.0551909,Lima,PER
16,Tripy Travel,web,10,2008,1,-41.296454,174.774682,Wellington,NZL
17,Jibes,web,15,2008,1,52.091381,5.148893,Utrecht,NLD
18,MyFrontSteps,web,29,2008,1,52.143886,-106.6634565,Saskatoon,CAN
19,TheWebService,web,12,2008,1,52.232349,-2.26681,Worcester,GBR
20,iCharts,analytics,16,2008,1,37.384239,-122.012475,Sunnyvale,USA
22,Call Me Later,web,25,2008,1,25.916982,-80.29413,Miami,USA
24,TheWebService,web,12,2008,1,52.232349,-2.26681,Worcester,GBR
25,iCharts,analytics,16,2008,1,37.384239,-122.012475,Sunnyvale,USA
27,Call Me Later,web,25,2008,1,25.916982,-80.29413,Miami,USA
29,IT Stocklist,web,12,2008,1,50.710267,7.066468,Bonn,DEU
30,Magoosh,web,13,2009,1,37.871087,-122.270913,Berkeley,USA
32,PeoplePad,web,10,2008,1,30.268735,-97.745209,Austin,USA
33,Calameo,web,10,2008,1,48.871174,2.308019,Paris,FRA
34,TVLesson,web,18,2008,1,33.9266484,-117.8771193,Brea,USA
35,VIrtualVu,web,10,2008,1,44.371496,-79.668813,"Barrie,",CAN
36,Formspring,web,19,2009,1,39.9052263,-86.0547016,San Francisco,USA
37,Dukky,analytics,15,2008,1,29.973994,-90.082202,Mandeville,USA
39,Cookstr,web,10,2008,1,40.707268,-74.001724,New York,USA
40,Yipit,web,23,2010,1,40.744618,-73.987764,New York,USA
41,Virgance,web,15,2008,1,37.781262,-122.394958,San Francisco,USA
42,DreamBank,web,10,2008,1,49.263588,-123.138565,Vancouver,CAN
43,Allure Media,web,15,2008,1,-33.8719926,151.1936039,Darlinghurst,AUS
45,Clowdy,web,11,2013,1,53.4837067,-2.2439492,Manchester,GBR
46,MyVishwa,network_hosting,25,2008,1,40.247314,-75.2023361,North Wales,USA
47,People Capital,web,10,2008,1,40.756054,-73.986951,New York,USA
48,JobsTAXI,web,12,2008,1,1.279684,103.842646,Singapore,SGP
49,TRIBAX,network_hosting,12,2008,1,52.5273098,13.3922487,Berlin,DEU
51,popdat,web,10,2008,1,40.727533,-74.230704,IRVINGTON,USA
52,StockTwits,web,12,2008,1,32.7161896,-117.168697,San Diego,USA
53,Tsavo Agency,web,15,2008,1,34.0028373,-118.4844228,Santa Monica,USA
54,midVentures,web,10,2008,1,41.885408,-87.625677,Chicago,USA
57,TagMyEvent,web,10,2008,1,29.745861,-95.457796,Houston,USA
58,JobsByRef,web,10,2008,1,13.0292742,80.2481532,Chennai,IND
59,ExpertHub,web,35,2008,1,37.6621228,-121.9009329,Pleasanton,USA
60,studdex,web,10,2008,1,51.4523335,7.3554365,Berlin,DEU
61,Coupon Tweet,web,12,2008,1,41.879535,-87.624333,Chicago,USA
62,howsimple,web,12,2008,1,33.7836802,-116.7732162,IDYLLWILD,USA
63,Gridstore,network_hosting,31,2009,1,37.4189073,-122.0884286,Mountain View,USA
65,Ranker,web,12,2008,1,34.1012181,-118.325739,Los Angeles,USA
66,Neovada,web,16,2008,1,59.9137459,10.7963809,Oslo,NOR
67,ShopaService,web,15,2008,1,40.827627,-74.10081,NJ,USA
68,tracx,analytics,40,2008,1,32.0554,34.7595,New York,USA
69,Chartbeat,analytics,50,2009,1,40.73343,-73.990967,New York,USA
70,psychiatryRounds,web,10,2009,1,37.400465,-122.073003,Mountain View,USA
71,Lunch,web,12,2008,1,33.903022,-118.3864712,,USA
72,myGreek,web,10,2008,1,37.772287,-122.42044,San Francisco,USA
73,Milo,web,20,2008,1,37.444531,-122.163352,Palo Alto,USA
74,Belighted,web,13,2008,1,50.6713314,4.6102492,Louvain-la-Neuve,BEL
75,kinkon,web,10,2008,1,49.439304,7.771808,Kaiserslautern,DEU
76,Worky,web,16,2008,1,53.344104,-6.2674937,Dublin,IRL
77,Sponty,web,10,2008,1,42.3672873,-71.0814466,Cambridge,USA
78,Exploroo Pty Ltd,web,11,2008,1,-28.048422,153.4375,"Gold Coast, QLD",AUS
79,Zookel,web,10,2008,1,51.5203268,-0.0994596,London,GBR
80,Bar Exchange,web,10,2009,1,51.5395914,-0.1525048,London,GBR
81,Ykone,web,10,2009,1,48.8566667,2.3509871,Paris,FRA
82,Enternships,web,15,2009,1,51.5215279,-0.1038219,London,GBR
83,DSwiss,web,10,2008,1,47.376362,8.5142125,ZÃ¼rich,CHE
84,ChallengePost,web,17,2009,1,40.7408042,-74.00717,New York,USA
86,Homesnap,analytics,18,2008,1,38.960381,-77.084811,Washington,USA
87,Culture Jam,web,15,2008,1,34.0137151,-118.4660597,Los Angeles,USA
88,Conversition,web,10,2008,1,40.756054,-73.986951,New York City,USA
